"path","title","count","uniques"
"  /jdemetra/rjdemetra/tree/master/R","  rjdemetra/R at master · jdemetra/rjdemetra · GitHub",15,9
"  /jdemetra/rjdemetra/releases","  Releases · jdemetra/rjdemetra · GitHub",12,8
"  /jdemetra/rjdemetra/search","  Search · sdmx · GitHub",9,3
"  /jdemetra/rjdemetra/blob/master/DESCRIPTION","  rjdemetra/DESCRIPTION at master · jdemetra/rjdemetra · GitHub",7,6
"  /jdemetra/rjdemetra/tree/master/docs","  rjdemetra/docs at master · jdemetra/rjdemetra · GitHub",7,6
"  /jdemetra/rjdemetra/blob/master/R/import_workspace.R","  rjdemetra/import_workspace.R at master · jdemetra/rjdemetra · GitHub",7,1
"  /jdemetra/rjdemetra/blob/master/NEWS.md","  rjdemetra/NEWS.md at master · jdemetra/rjdemetra · GitHub",6,6
"  /jdemetra/rjdemetra/blob/master/README.md","  rjdemetra/README.md at master · jdemetra/rjdemetra · GitHub",5,3
"  /jdemetra/rjdemetra/pull/47","  CRAN release v0.1.2 by AQLT · Pull Request #47 · jdemetra/rjdemetra",5,1
